ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
CU1811.SHF,20180530,52420.0,52220.0,52390.0,52620.0,51450.0,51450.0,51880.0,-770.0,-340.0,6424.0,166657.78,28542.0,998.0
CU1811.SHF,20180531,51450.0,51880.0,51450.0,52140.0,51450.0,52040.0,51850.0,160.0,-30.0,2214.0,57407.99,28854.0,312.0
CU1811.SHF,20180601,52040.0,51850.0,51890.0,52220.0,51700.0,52100.0,52020.0,250.0,170.0,5010.0,130334.38,25704.0,-3150.0
CU1811.SHF,20180604,52100.0,52020.0,52220.0,53010.0,52150.0,52470.0,52570.0,450.0,550.0,2690.0,70716.86,25588.0,-116.0
CU1811.SHF,20180605,52470.0,52570.0,52670.0,53000.0,52590.0,53000.0,52770.0,430.0,200.0,1502.0,39631.14,25536.0,-52.0
CU1811.SHF,20180606,53000.0,52770.0,53010.0,53930.0,53010.0,53890.0,53500.0,1120.0,730.0,3700.0,98980.94,25308.0,-228.0
CU1811.SHF,20180607,53890.0,53500.0,54070.0,54910.0,54020.0,54710.0,54590.0,1210.0,1090.0,8600.0,234762.12,25064.0,-244.0
CU1811.SHF,20180608,54710.0,54590.0,54960.0,55150.0,54290.0,54350.0,54700.0,-240.0,110.0,5902.0,161423.15,24864.0,-200.0
CU1811.SHF,20180611,54350.0,54700.0,54640.0,55050.0,54580.0,54730.0,54830.0,30.0,130.0,4230.0,115982.58,25132.0,268.0
CU1811.SHF,20180612,54730.0,54830.0,54510.0,54760.0,54330.0,54570.0,54530.0,-260.0,-300.0,3104.0,84637.35,25656.0,524.0
CU1811.SHF,20180613,54570.0,54530.0,54520.0,54550.0,54020.0,54100.0,54250.0,-430.0,-280.0,2062.0,55933.25,25808.0,152.0
CU1811.SHF,20180614,54100.0,54250.0,54250.0,54620.0,54100.0,54210.0,54340.0,-40.0,90.0,2086.0,56676.75,25884.0,76.0
CU1811.SHF,20180615,54210.0,54340.0,54130.0,54270.0,53800.0,54210.0,54050.0,-130.0,-290.0,3890.0,105127.85,26044.0,160.0
CU1811.SHF,20180619,54210.0,54050.0,53210.0,53480.0,52180.0,52260.0,52680.0,-1790.0,-1370.0,11674.0,307533.77,24806.0,-1238.0
CU1811.SHF,20180620,52260.0,52680.0,52110.0,52570.0,52040.0,52490.0,52370.0,-190.0,-310.0,7218.0,189031.36,25718.0,912.0
CU1811.SHF,20180621,52490.0,52370.0,52220.0,52480.0,51990.0,52300.0,52290.0,-70.0,-80.0,4050.0,105894.31,26068.0,350.0
CU1811.SHF,20180622,52300.0,52290.0,52290.0,52390.0,52080.0,52330.0,52240.0,40.0,-50.0,4588.0,119842.09,25814.0,-254.0
CU1811.SHF,20180625,52330.0,52240.0,52250.0,52600.0,52120.0,52170.0,52350.0,-70.0,110.0,5232.0,136958.22,25520.0,-294.0
CU1811.SHF,20180626,52170.0,52350.0,52250.0,52270.0,51800.0,52100.0,52030.0,-250.0,-320.0,4154.0,108066.86,25474.0,-46.0
CU1811.SHF,20180627,52100.0,52030.0,51980.0,52220.0,51940.0,51970.0,52070.0,-60.0,40.0,5226.0,136077.04,26884.0,1410.0
CU1811.SHF,20180628,51970.0,52070.0,51960.0,52540.0,51950.0,52100.0,52240.0,30.0,170.0,6354.0,165974.53,26946.0,62.0
CU1811.SHF,20180629,52100.0,52240.0,51960.0,52260.0,51570.0,52170.0,51910.0,-70.0,-330.0,8814.0,228777.54,28234.0,1288.0
CU1811.SHF,20180702,52170.0,51910.0,51990.0,52010.0,51420.0,51650.0,51770.0,-260.0,-140.0,6876.0,178019.55,29170.0,936.0
CU1811.SHF,20180703,51650.0,51770.0,51790.0,52020.0,51510.0,51910.0,51800.0,140.0,30.0,8006.0,207379.91,31122.0,1952.0
CU1811.SHF,20180704,51910.0,51800.0,51780.0,51840.0,50000.0,50330.0,51050.0,-1470.0,-750.0,22780.0,581489.81,33628.0,2506.0
CU1811.SHF,20180705,50330.0,51050.0,50390.0,50490.0,49460.0,49550.0,49920.0,-1500.0,-1130.0,47338.0,1181652.28,28898.0,-4730.0
CU1811.SHF,20180706,49550.0,49920.0,49710.0,49960.0,48850.0,49340.0,49460.0,-580.0,-460.0,24664.0,609988.78,29216.0,318.0
CU1811.SHF,20180709,49340.0,49460.0,49300.0,50290.0,49030.0,50220.0,49790.0,760.0,330.0,14578.0,362978.19,30656.0,1440.0
CU1811.SHF,20180710,50220.0,49790.0,50100.0,50190.0,49800.0,50000.0,50020.0,210.0,230.0,10148.0,253805.65,31822.0,1166.0
CU1811.SHF,20180711,50000.0,50020.0,49790.0,49950.0,47700.0,48270.0,48480.0,-1750.0,-1540.0,36632.0,888045.05,35134.0,3312.0
CU1811.SHF,20180712,48270.0,48480.0,48380.0,49330.0,47910.0,49190.0,48600.0,710.0,120.0,27618.0,671152.39,35452.0,318.0
CU1811.SHF,20180713,49190.0,48600.0,49010.0,49170.0,48760.0,48940.0,48970.0,340.0,370.0,15878.0,388826.34,34492.0,-960.0
CU1811.SHF,20180716,48940.0,48970.0,48940.0,49490.0,48910.0,48960.0,49200.0,-10.0,230.0,17402.0,428167.71,37484.0,2992.0
CU1811.SHF,20180717,48960.0,49200.0,48920.0,49340.0,48710.0,49010.0,49030.0,-190.0,-170.0,12634.0,309765.32,37856.0,372.0
CU1811.SHF,20180718,49010.0,49030.0,48930.0,48980.0,48300.0,48450.0,48650.0,-580.0,-380.0,12830.0,312122.25,38118.0,262.0
CU1811.SHF,20180719,48450.0,48650.0,48470.0,49290.0,48350.0,48820.0,48870.0,170.0,220.0,15652.0,382509.01,38732.0,614.0
CU1811.SHF,20180720,48820.0,48870.0,48510.0,48830.0,48180.0,48750.0,48480.0,-120.0,-390.0,20966.0,508305.23,40200.0,1468.0
CU1811.SHF,20180723,48750.0,48480.0,48790.0,49240.0,48690.0,49130.0,48900.0,650.0,420.0,31186.0,762580.08,41936.0,1736.0
CU1811.SHF,20180724,49130.0,48900.0,49290.0,49580.0,49050.0,49410.0,49320.0,510.0,420.0,16920.0,417287.62,42614.0,678.0
CU1811.SHF,20180725,49410.0,49320.0,49800.0,50400.0,49760.0,50050.0,50160.0,730.0,840.0,28668.0,719024.15,44844.0,2230.0
CU1811.SHF,20180726,50050.0,50160.0,50060.0,50400.0,49910.0,50260.0,50190.0,100.0,30.0,16372.0,410884.54,46046.0,1202.0
CU1811.SHF,20180727,50260.0,50190.0,50130.0,50420.0,50010.0,50240.0,50240.0,50.0,50.0,14788.0,371494.5,48390.0,2344.0
CU1811.SHF,20180730,50240.0,50240.0,50260.0,50540.0,49490.0,49510.0,50020.0,-730.0,-220.0,28168.0,704508.83,52444.0,4054.0
CU1811.SHF,20180731,49510.0,50020.0,49860.0,50170.0,49710.0,49980.0,49950.0,-40.0,-70.0,18736.0,467977.97,53348.0,904.0
CU1811.SHF,20180801,49980.0,49950.0,49990.0,50380.0,49760.0,50020.0,50100.0,70.0,150.0,25840.0,647415.29,55582.0,2234.0
CU1811.SHF,20180802,50020.0,50100.0,49540.0,49690.0,48910.0,49490.0,49360.0,-610.0,-740.0,37108.0,915920.64,63038.0,7456.0
CU1811.SHF,20180803,49490.0,49360.0,49480.0,49520.0,49220.0,49330.0,49350.0,-30.0,-10.0,25930.0,639920.87,68002.0,4964.0
CU1811.SHF,20180806,49330.0,49350.0,49540.0,49880.0,49150.0,49420.0,49440.0,70.0,90.0,43094.0,1065346.47,69238.0,1236.0
CU1811.SHF,20180807,49420.0,49440.0,49200.0,49700.0,49020.0,49600.0,49430.0,160.0,-10.0,36348.0,898432.23,72550.0,3312.0
CU1811.SHF,20180808,49600.0,49430.0,49530.0,49800.0,49490.0,49540.0,49630.0,110.0,200.0,27436.0,680905.0,77486.0,4936.0
CU1811.SHF,20180809,49540.0,49630.0,49440.0,50110.0,49400.0,49990.0,49770.0,360.0,140.0,41800.0,1040206.79,81908.0,4422.0
